date,BRK-B,JNJ,KO,PG,TLT,VTI,VZ,XOM
2023-06-28,334.1499938964844,162.9600067138672,60.52000045776367,149.99000549316406,103.61000061035156,216.97999572753906,36.81999969482422,105.4000015258789
2023-06-29,336.9100036621094,164.10000610351562,60.02000045776367,149.3800048828125,101.73999786376953,218.02000427246094,36.9900016784668,106.69999694824219
2023-06-30,341.0,165.52000427246094,60.220001220703125,151.74000549316406,102.94000244140625,220.27999877929688,37.189998626708984,107.25
2023-07-03,342.0,163.35000610351562,60.58000183105469,152.5,102.08000183105469,220.94000244140625,37.279998779296875,107.45999908447266
2023-07-05,341.55999755859375,162.80999755859375,61.029998779296875,152.24000549316406,101.11000061035156,220.27000427246094,37.47999954223633,106.91000366210938
2023-07-06,341.4599914550781,161.60000610351562,60.560001373291016,151.99000549316406,99.68000030517578,218.30999755859375,37.130001068115234,102.91999816894531
2023-07-07,340.8999938964844,159.25,59.7599983215332,148.8000030517578,99.08000183105469,218.0399932861328,35.900001525878906,103.16000366210938
2023-07-10,341.1300048828125,159.50999450683594,59.310001373291016,148.86000061035156,99.20999908447266,218.99000549316406,35.13999938964844,104.69000244140625
2023-07-11,343.3699951171875,158.6300048828125,59.52000045776367,148.0800018310547,99.72000122070312,220.7100067138672,34.9900016784668,105.97000122070312
2023-07-12,345.3500061035156,158.0800018310547,59.84000015258789,148.85000610351562,100.83000183105469,222.39999389648438,34.86000061035156,106.48999786376953
2023-07-13,343.5400085449219,158.80999755859375,60.349998474121094,148.9499969482422,101.88999938964844,224.27999877929688,34.63999938964844,104.54000091552734
2023-07-14,341.0899963378906,159.8699951171875,60.900001525878906,150.0500030517578,101.29000091552734,223.9499969482422,34.0099983215332,100.94000244140625
2023-07-17,344.25,159.07000732421875,60.810001373291016,148.99000549316406,101.33999633789062,224.8000030517578,31.459999084472656,101.37999725341797
2023-07-18,345.3399963378906,159.05999755859375,60.56999969482422,149.27000427246094,101.80000305175781,226.58999633789062,32.27000045776367,100.91999816894531
2023-07-19,342.42999267578125,158.74000549316406,61.63999938964844,150.2899932861328,102.94999694824219,227.17999267578125,33.970001220703125,101.62000274658203
2023-07-20,346.6099853515625,168.3800048828125,62.38999938964844,150.55999755859375,101.69999694824219,225.5399932861328,33.63999938964844,103.41000366210938
2023-07-21,345.760009765625,170.19000244140625,62.439998626708984,152.92999267578125,101.7300033569336,225.52000427246094,33.880001068115234,103.88999938964844
2023-07-24,349.6300048828125,171.0800018310547,62.459999084472656,153.4199981689453,101.36000061035156,226.32000732421875,33.97999954223633,105.5199966430664
2023-07-25,347.5799865722656,172.38999938964844,62.25,153.77999877929688,101.16999816894531,226.88999938964844,34.2400016784668,105.68000030517578
2023-07-26,349.79998779296875,172.72000122070312,63.04999923706055,153.94000244140625,101.2699966430664,227.05999755859375,34.34000015258789,105.08999633789062
2023-07-27,349.30999755859375,173.69000244140625,62.439998626708984,152.11000061035156,99.30000305175781,225.30999755859375,33.54999923706055,105.41999816894531
2023-07-28,349.80999755859375,174.47999572753906,62.47999954223633,156.41000366210938,99.80999755859375,227.66000366210938,34.029998779296875,104.16000366210938
2023-07-31,351.9599914550781,167.52999877929688,61.93000030517578,156.3000030517578,100.05000305175781,228.35000610351562,34.08000183105469,107.23999786376953
2023-08-01,352.260009765625,168.88999938964844,61.77000045776367,156.25,98.13999938964844,227.72999572753906,33.43000030517578,106.62000274658203
2023-08-02,351.19000244140625,169.91000366210938,61.959999084472656,156.58999633789062,97.08999633789062,224.5,33.31999969482422,105.29000091552734
2023-08-03,353.80999755859375,170.63999938964844,61.63999938964844,157.0,94.8499984741211,223.85000610351562,33.060001373291016,107.12000274658203
2023-08-04,349.989990234375,169.0399932861328,60.709999084472656,155.27999877929688,96.52999877929688,222.89999389648438,32.619998931884766,107.41999816894531
2023-08-07,362.5799865722656,173.10000610351562,61.189998626708984,156.9199981689453,95.58000183105469,224.61000061035156,32.529998779296875,107.19999694824219
2023-08-08,363.7300109863281,173.17999267578125,60.91999816894531,157.08999633789062,96.69000244140625,223.57000732421875,32.56999969482422,107.7300033569336
2023-08-09,358.0199890136719,173.07000732421875,61.060001373291016,156.88999938964844,97.19000244140625,221.97000122070312,32.709999084472656,109.55999755859375
2023-08-10,356.9800109863281,172.1699981689453,60.91999816894531,156.11000061035156,95.58999633789062,222.00999450683594,33.02000045776367,110.12000274658203
2023-08-11,358.3500061035156,173.85000610351562,61.16999816894531,157.02000427246094,95.37000274658203,221.8000030517578,33.36000061035156,111.83000183105469
2023-08-14,358.4800109863281,173.44000244140625,60.880001068115234,155.7899932861328,95.16000366210938,222.89999389648438,33.560001373291016,111.91999816894531
2023-08-15,354.5,172.94000244140625,60.470001220703125,154.7899932861328,94.58000183105469,220.3699951171875,33.2599983215332,108.16000366210938
2023-08-16,354.1099853515625,172.38999938964844,60.47999954223633,153.2100067138672,93.83999633789062,218.5500030517578,33.27000045776367,106.33999633789062
2023-08-17,353.19000244140625,174.00999450683594,60.61000061035156,152.11000061035156,93.44000244140625,216.75999450683594,33.060001373291016,108.4000015258789
2023-08-18,352.55999755859375,172.49000549316406,60.95000076293945,152.5399932861328,93.7699966430664,217.00999450683594,33.18000030517578,110.04000091552734
2023-08-21,352.0899963378906,167.35000610351562,60.43000030517578,151.77000427246094,92.5199966430664,218.25999450683594,33.0,108.70999908447266
2023-08-22,350.57000732421875,166.02000427246094,60.060001373291016,151.8300018310547,93.2300033569336,217.67999267578125,33.20000076293945,108.0999984741211
