date,AMD,AMZN,ARKK,COIN,MSTR,NVDA,PLTR,TSLA
2023-06-28,110.16999816894531,129.0399932861328,44.18000030517578,70.75,32.56100082397461,41.117000579833984,15.279999732971191,256.239990234375
2023-06-29,111.23999786376953,127.9000015258789,43.790000915527344,72.43000030517578,34.0260009765625,40.821998596191406,15.199999809265137,257.5
2023-06-30,113.91000366210938,130.36000061035156,44.13999938964844,71.55000305175781,34.242000579833984,42.301998138427734,15.329999923706055,261.7699890136719
2023-07-03,115.81999969482422,130.22000122070312,45.119998931884766,79.93000030517578,37.784000396728516,42.41299819946289,15.520000457763672,279.82000732421875
2023-07-05,113.94999694824219,130.3800048828125,44.959999084472656,78.3499984741211,37.81100082397461,42.31700134277344,15.699999809265137,282.4800109863281
2023-07-06,113.4800033569336,128.36000061035156,43.2400016784668,78.0999984741211,37.654998779296875,42.10300064086914,15.130000114440918,276.5400085449219
2023-07-07,113.16999816894531,129.77999877929688,43.72999954223633,78.72000122070312,38.07400131225586,42.50299835205078,15.34000015258789,274.42999267578125
2023-07-10,113.58000183105469,127.12999725341797,45.369998931884766,81.20999908447266,40.770999908447266,42.18000030517578,16.299999237060547,269.6099853515625
2023-07-11,111.31999969482422,128.77999877929688,47.04999923706055,89.1500015258789,41.22999954223633,42.404998779296875,16.489999771118164,269.7900085449219
2023-07-12,114.58000183105469,130.8000030517578,47.47999954223633,85.94999694824219,41.3489990234375,43.902000427246094,16.59000015258789,271.989990234375
2023-07-13,115.91999816894531,134.3000030517578,49.630001068115234,107.0,46.18299865722656,45.97700119018555,16.739999771118164,277.8999938964844
2023-07-14,115.94000244140625,134.67999267578125,48.56999969482422,105.30999755859375,45.88600158691406,45.46900177001953,16.399999618530273,281.3800048828125
2023-07-17,118.31999969482422,133.55999755859375,49.68000030517578,105.55000305175781,44.987998962402344,46.46099853515625,17.399999618530273,290.3800048828125
2023-07-18,117.93000030517578,132.8300018310547,49.86000061035156,104.58999633789062,44.58000183105469,47.49399948120117,18.079999923706055,293.3399963378906
2023-07-19,116.43000030517578,135.36000061035156,50.650001525878906,110.1500015258789,45.310001373291016,47.07699966430664,18.049999237060547,291.260009765625
2023-07-20,110.25,129.9600067138672,47.7599983215332,101.26000213623047,44.08300018310547,45.52000045776367,17.1299991607666,262.8999938964844
2023-07-21,110.94999694824219,130.0,47.93000030517578,100.81999969482422,43.665000915527344,44.308998107910156,16.43000030517578,260.0199890136719
2023-07-24,110.61000061035156,128.8000030517578,47.40999984741211,98.8499984741211,43.09400177001953,44.61199951171875,16.31999969482422,269.05999755859375
2023-07-25,113.0,129.1300048828125,47.27000045776367,97.68000030517578,43.68199920654297,45.67900085449219,16.549999237060547,265.2799987792969
2023-07-26,110.08999633789062,128.14999389648438,48.279998779296875,99.75,44.34600067138672,45.45199966430664,16.43000030517578,264.3500061035156
2023-07-27,111.0999984741211,128.25,46.869998931884766,92.69000244140625,42.6150016784668,45.900001525878906,16.149999618530273,255.7100067138672
2023-07-28,112.95999908447266,132.2100067138672,49.439998626708984,94.76000213623047,43.46099853515625,46.75,17.809999465942383,266.44000244140625
2023-07-31,114.4000015258789,133.67999267578125,50.45000076293945,98.61000061035156,43.78799819946289,46.729000091552734,19.84000015258789,267.42999267578125
2023-08-01,117.5999984741211,131.69000244140625,49.45000076293945,94.1500015258789,43.49800109863281,46.50699996948242,19.989999771118164,261.07000732421875
2023-08-02,109.3499984741211,128.2100067138672,46.689998626708984,90.43000030517578,40.733001708984375,44.26900100708008,18.969999313354492,254.11000061035156
2023-08-03,113.1500015258789,128.91000366210938,46.189998626708984,90.75,38.99100112915039,44.51499938964844,18.709999084472656,259.32000732421875
2023-08-04,115.81999969482422,139.57000732421875,45.380001068115234,87.30999755859375,37.696998596191406,44.68000030517578,18.200000762939453,253.86000061035156
2023-08-07,116.80999755859375,142.22000122070312,45.150001525878906,85.95999908447266,37.082000732421875,45.41699981689453,17.989999771118164,251.4499969482422
2023-08-08,113.2300033569336,139.94000244140625,44.90999984741211,88.04000091552734,38.948001861572266,44.66400146484375,17.040000915527344,249.6999969482422
2023-08-09,110.47000122070312,137.85000610351562,43.290000915527344,84.33999633789062,37.784000396728516,42.55400085449219,15.25,242.19000244140625
2023-08-10,110.2300033569336,138.55999755859375,42.97999954223633,83.38999938964844,37.80099868774414,42.38800048828125,15.40999984741211,245.33999633789062
2023-08-11,107.56999969482422,138.41000366210938,42.75,81.01000213623047,38.430999755859375,40.85499954223633,15.40999984741211,242.64999389648438
2023-08-14,111.9800033569336,140.57000732421875,42.91999816894531,80.80999755859375,38.882999420166016,43.75299835205078,15.720000267028809,239.75999450683594
2023-08-15,111.3499984741211,137.6699981689453,42.16999816894531,79.18000030517578,37.6150016784668,43.939998626708984,15.369999885559082,232.9600067138672
2023-08-16,107.19000244140625,135.07000732421875,41.2400016784668,79.0,36.96699905395508,43.486000061035156,15.449999809265137,225.60000610351562
2023-08-17,104.44000244140625,133.97999572753906,40.2400016784668,75.55999755859375,34.67900085449219,43.34400177001953,14.149999618530273,219.22000122070312
2023-08-18,105.44999694824219,133.22000122070312,40.380001068115234,73.19000244140625,32.86199951171875,43.29899978637695,14.399999618530273,215.49000549316406
2023-08-21,108.22000122070312,134.67999267578125,41.099998474121094,75.27999877929688,33.525001525878906,46.96699905395508,14.5,231.27999877929688
2023-08-22,105.66000366210938,134.25,41.0099983215332,74.9000015258789,32.95100021362305,45.667999267578125,14.670000076293945,233.19000244140625
